turk_uydu,cop_parca,cop_kaynak,mesafe_t0_km,hiz_t0_km_s,tahmin_t24_km,gercek_t24_km,hata_km,hiz_t24_km_s,delta_mesafe_km,cop_inclination_deg,cop_eccentricity,cop_sma_km,cop_perigee_km,cop_apogee_km,roket_govdesi,malzeme,yanma_orani,yere_dusme_riski,orbital_risk_skoru,bilesik_risk_skoru,risk_sinifi,trend,hesap_utc
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,1708.74,3.284,4271.71,2123.68,-2148.03,4.356,414.94,74.0305,0.0012,7072.0582,692.337,709.7795,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,13662.06,14.818,4283.09,3417.15,-865.94,5.115,-10244.92,74.002,0.0096,7176.4766,736.5537,874.3995,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,13809.89,1.357,4323.35,1339.03,-2984.32,14.832,-12470.86,74.0201,0.0087,7004.6325,572.7965,694.4684,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,2560.8,14.964,4350.74,2119.05,-2231.69,14.516,-441.75,74.0363,0.0028,7158.802,767.8848,807.7192,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,6051.38,14.98,4456.8,6211.88,1755.08,11.939,160.5,73.9299,0.0011,6882.6206,504.3181,518.923,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,2421.29,6.007,4476.39,2675.62,-1800.77,6.138,254.32,74.0178,0.0014,7052.9768,672.0892,691.8644,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,13826.01,1.177,4502.74,3237.51,-1265.23,14.39,-10588.5,73.9977,0.001,7014.5571,636.8434,650.2707,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,12523.08,1.664,4602.74,2315.19,-2287.55,13.491,-10207.89,74.0501,0.0094,7012.6415,575.9633,707.3198,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,4712.78,3.311,4606.52,4156.5,-450.02,4.023,-556.28,74.1096,0.0038,7062.4524,664.3905,718.5143,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,13233.64,14.718,4608.87,4125.81,-483.06,5.08,-9107.83,74.0574,0.0124,7198.903,738.3968,917.4091,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,2969.48,3.863,4629.07,4080.38,-548.69,4.018,1110.9,74.0132,0.0066,7016.1505,599.1084,691.1926,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,2725.0,1.846,4631.8,4701.89,70.09,5.923,1976.89,74.0419,0.0006,7065.4704,690.4064,698.5345,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,7138.15,13.682,4638.47,3788.19,-850.28,13.034,-3349.96,73.9299,0.0011,6882.6206,504.3181,518.923,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,3352.35,14.701,4651.65,3856.41,-795.24,14.158,504.05,74.0483,0.006,7150.9249,737.2747,822.5752,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,1608.49,6.016,4652.24,2333.08,-2319.16,5.939,724.6,74.04,0.001,7071.6377,693.5972,707.6782,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,2306.72,14.927,4656.97,2298.84,-2358.13,14.632,-7.88,74.0586,0.0041,7143.8414,743.7939,801.889,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,12637.4,2.603,4681.39,3943.88,-737.51,12.928,-8693.52,74.0123,0.0083,7011.7329,582.1927,699.2732,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
