turk_uydu,cop_parca,cop_kaynak,mesafe_t0_km,hiz_t0_km_s,tahmin_t24_km,gercek_t24_km,hata_km,hiz_t24_km_s,delta_mesafe_km,cop_inclination_deg,cop_eccentricity,cop_sma_km,cop_perigee_km,cop_apogee_km,roket_govdesi,malzeme,yanma_orani,yere_dusme_riski,orbital_risk_skoru,bilesik_risk_skoru,risk_sinifi,trend,hesap_utc
GOKTURK 2,STARLINK-2045,aktif_uydular,12757.67,15.103,2685.83,3068.49,382.66,6.729,-9689.18,53.1592,0.0001,6853.3909,481.4691,483.3126,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31733,aktif_uydular,10896.66,15.022,2693.28,3220.82,527.54,10.127,-7675.84,43.0007,0.0001,6861.1976,489.3352,491.0601,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31564,aktif_uydular,10184.3,14.981,2695.53,1860.85,-834.68,10.92,-8323.45,42.9976,0.0001,6861.1939,489.4254,490.9623,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,2023-072F,aktif_uydular,13861.8,15.134,2702.7,1464.98,-1237.72,1.556,-12396.82,97.517,0.0005,6854.3949,480.0863,486.7035,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-11246 [DTC],aktif_uydular,6972.04,1.649,2704.21,1903.16,-801.05,7.712,-5068.88,53.1579,0.0001,6737.9011,366.3574,367.4449,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30474,aktif_uydular,9889.57,15.029,2712.4,1871.19,-841.21,11.2,-8018.38,43.0009,0.0002,6863.7145,491.49,493.939,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31455,aktif_uydular,4522.81,15.056,2716.14,1792.03,-924.11,14.346,-2730.79,43.0026,0.0001,6861.2366,489.427,491.0462,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 4B,EUTELSAT 53A,aktif_uydular,2193.06,0.16,2718.68,2201.22,-517.46,0.16,8.16,0.0231,0.0001,42165.0039,35788.2905,35799.7172,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30374,aktif_uydular,5153.76,15.073,2743.67,2709.06,-34.61,13.938,-2444.71,43.0025,0.0001,6861.1882,489.5213,490.8551,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-35678,aktif_uydular,11996.29,14.867,2744.03,1296.5,-1447.53,7.316,-10699.78,43.0026,0.0002,6861.1622,489.0314,491.2929,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,SHIYAN-21 (SY-21),aktif_uydular,10097.85,15.143,2746.28,1310.78,-1435.5,10.896,-8787.07,35.9757,0.0022,6861.8335,475.8445,505.8224,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-5509,aktif_uydular,12301.52,14.904,2748.72,1736.71,-1012.01,6.896,-10564.81,43.0012,0.0001,6863.6958,491.7712,493.6203,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30240,aktif_uydular,5648.75,15.138,2751.73,338.18,-2413.55,14.022,-5310.57,43.0054,0.0002,6863.3812,490.8843,493.8781,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31560,aktif_uydular,6247.81,15.089,2753.83,2460.22,-293.61,13.636,-3787.59,42.9988,0.0002,6861.1669,489.0746,491.2592,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32248,aktif_uydular,11524.43,15.039,2754.28,3195.81,441.53,9.551,-8328.62,53.1582,0.0001,6853.368,481.7313,483.0047,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-34861,aktif_uydular,5191.13,15.05,2758.3,859.28,-1899.02,14.361,-4331.85,53.1598,0.0001,6853.3497,481.3245,483.375,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31477,aktif_uydular,4307.18,14.967,2759.94,2101.19,-658.75,14.449,-2205.99,43.0029,0.0001,6861.2105,489.3604,491.0606,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30528,aktif_uydular,11037.35,14.898,2761.09,1802.85,-958.24,9.63,-9234.51,42.9997,0.0001,6861.1866,489.5156,490.8577,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-6360,aktif_uydular,12474.97,14.932,2768.31,2147.37,-620.94,6.728,-10327.61,43.0014,0.0001,6863.6975,491.8038,493.5911,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32598,aktif_uydular,6064.42,15.074,2768.41,2668.64,-99.77,13.671,-3395.79,42.9995,0.0001,6861.2391,489.7547,490.7235,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32643,aktif_uydular,3918.66,15.062,2774.1,3677.82,903.72,14.123,-240.84,53.1592,0.0001,6853.3569,481.6401,483.0738,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32196,aktif_uydular,4072.86,15.169,2789.88,2107.38,-682.5,14.409,-1965.48,53.1608,0.0001,6853.3892,481.5983,483.1801,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32041,aktif_uydular,11611.87,15.027,2791.73,2750.82,-40.91,9.325,-8861.05,53.1596,0.0001,6853.3853,481.6287,483.1419,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32641,aktif_uydular,3507.72,15.117,2794.51,1886.05,-908.46,14.595,-1621.67,53.1601,0.0001,6853.3304,481.4545,483.2062,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,STARLINK-33568,aktif_uydular,6423.89,14.501,2802.35,523.23,-2279.12,13.277,-5900.67,53.1586,0.0001,6853.3639,481.7073,483.0204,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,STARLINK-34248,aktif_uydular,8595.35,14.368,2807.95,1143.17,-1664.78,11.896,-7452.18,53.1596,0.0001,6853.328,481.7147,482.9414,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-35734,aktif_uydular,4985.87,15.114,2813.48,1419.79,-1393.69,14.341,-3566.07,53.1591,0.0001,6853.3376,481.4603,483.2148,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-33880,aktif_uydular,12309.51,14.898,2817.97,1888.31,-929.66,6.79,-10421.2,43.0015,0.0002,6861.1516,489.0161,491.2871,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-33856,aktif_uydular,11897.58,14.861,2818.5,4120.82,1302.32,8.614,-7776.75,42.9998,0.0002,6861.1544,489.0882,491.2206,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-36117,aktif_uydular,10999.64,14.926,2837.21,3837.44,1000.23,10.029,-7162.2,42.9986,0.0002,6861.1496,489.0463,491.2529,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,STARLINK-35954,aktif_uydular,10908.49,13.96,2840.83,2046.33,-794.5,8.96,-8862.16,53.1582,0.0001,6853.3584,482.0054,482.7113,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-5726,aktif_uydular,11553.0,14.99,2842.71,659.48,-2183.23,8.678,-10893.52,42.9993,0.0001,6867.0309,495.1169,496.9449,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30945,aktif_uydular,5960.48,14.945,2842.77,1202.72,-1640.05,13.989,-4757.76,43.0049,0.0001,6861.1782,489.1772,491.1793,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-36136,aktif_uydular,12455.27,14.949,2846.02,3129.77,283.75,7.142,-9325.51,43.0008,0.0001,6861.1378,489.1155,491.1601,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32928,aktif_uydular,7270.49,14.981,2853.28,1185.64,-1667.64,13.347,-6084.86,43.0012,0.0001,6861.1705,489.3362,491.0048,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-33890,aktif_uydular,3520.48,15.136,2853.7,2463.75,-389.95,14.471,-1056.73,53.1607,0.0002,6853.3223,481.2148,483.4298,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32950,aktif_uydular,6790.54,15.03,2853.82,2859.71,5.89,13.407,-3930.82,43.004,0.0002,6861.1376,489.011,491.2642,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31326,aktif_uydular,11295.77,14.946,2854.25,4256.71,1402.46,10.028,-7039.06,53.1606,0.0001,6853.3556,481.6216,483.0896,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32332,aktif_uydular,8029.43,15.049,2859.17,2449.65,-409.52,12.818,-5579.77,42.9999,0.0001,6861.0561,489.6286,490.4835,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31571,aktif_uydular,6312.87,15.143,2860.02,814.97,-2045.05,13.742,-5497.9,42.9991,0.0001,6861.2242,489.6993,490.749,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,IMECE,aktif_uydular,0.0,0.0,2865.47,0.0,-2865.47,0.0,0.0,98.1286,0.0011,7052.5383,673.8285,689.2481,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,GOKTURK 1A,aktif_uydular,0.0,0.0,2867.31,0.0,-2867.31,0.0,0.0,98.1336,0.0001,7062.388,690.4232,692.3527,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31731,aktif_uydular,10790.45,14.88,2873.01,4044.69,1171.68,10.319,-6745.77,42.9989,0.0002,6861.2952,489.0368,491.5535,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31354,aktif_uydular,10889.43,14.942,2876.51,3389.32,512.81,10.518,-7500.11,53.1597,0.0001,6853.4085,481.8692,482.9479,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-35810,aktif_uydular,11342.13,14.799,2883.21,1883.92,-999.29,8.941,-9458.21,43.0022,0.0002,6861.1382,488.7858,491.4905,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-35910,aktif_uydular,9289.04,14.98,2883.38,3171.43,288.05,11.877,-6117.61,42.9982,0.0002,6861.149,489.1006,491.1974,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,STARLINK-31320,aktif_uydular,6772.84,14.486,2886.67,721.69,-2164.98,13.251,-6051.15,53.1594,0.0001,6853.3908,481.8994,482.8822,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31374,aktif_uydular,11943.77,15.015,2886.7,3243.18,356.48,8.41,-8700.59,43.0002,0.0001,6861.179,489.3268,491.0312,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30861,aktif_uydular,8292.64,14.946,2887.23,2723.24,-163.99,12.388,-5569.4,42.9997,0.0003,6872.8669,500.1199,503.614,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-36670,aktif_uydular,6717.39,15.131,2892.88,1381.78,-1511.1,13.542,-5335.61,43.0007,0.0001,6861.203,489.2068,491.1993,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,STARLINK-5514,aktif_uydular,9356.81,13.762,2895.74,1536.59,-1359.15,11.169,-7820.22,43.0006,0.0002,6868.1098,495.7005,498.5191,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-11594 [DTC],aktif_uydular,6423.64,1.97,2897.77,1899.85,-997.92,7.658,-4523.78,42.9997,0.0002,6734.5132,362.3582,364.6681,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-36160,aktif_uydular,12249.23,14.701,2899.91,937.37,-1962.54,6.498,-11311.87,53.1627,0.0001,6853.3601,481.7433,482.9769,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32876,aktif_uydular,11865.24,14.884,2900.83,1041.2,-1859.63,7.65,-10824.04,42.9997,0.0001,6861.0998,489.3286,490.8709,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30885,aktif_uydular,11327.77,14.914,2901.96,3537.88,635.92,9.472,-7789.9,43.0025,0.0002,6863.6977,491.5528,493.8425,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-5866,aktif_uydular,12514.84,14.925,2905.18,2336.17,-569.01,6.701,-10178.67,43.0017,0.0001,6863.7019,491.7869,493.6168,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-35555,aktif_uydular,7031.18,15.039,2912.11,2729.43,-182.68,13.319,-4301.75,43.0034,0.0002,6861.1359,489.0552,491.2165,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-6334,aktif_uydular,12259.47,15.052,2912.58,1426.99,-1485.59,7.275,-10832.48,42.9991,0.0001,6870.9733,499.1021,500.8445,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-34864,aktif_uydular,3588.04,15.06,2915.81,1486.67,-1429.14,14.681,-2101.37,53.1612,0.0002,6853.2657,481.2144,483.317,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-35158,aktif_uydular,4288.0,15.091,2916.52,3505.17,588.65,14.103,-782.83,53.1587,0.0002,6853.3046,480.751,483.8583,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,STARLINK-33572,aktif_uydular,6097.91,14.482,2916.97,977.67,-1939.3,13.282,-5120.24,53.1589,0.0001,6853.3526,481.6131,483.092,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30441,aktif_uydular,8232.91,14.956,2918.96,1623.5,-1295.46,12.735,-6609.41,43.0024,0.0001,6861.1816,489.4756,490.8876,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,AEROCUBE 8C,aktif_uydular,13824.69,14.981,2920.79,2167.65,-753.14,1.343,-11657.04,98.0682,0.0005,6873.6764,499.1481,506.2046,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31066,aktif_uydular,4781.6,14.957,2922.16,1690.88,-1231.28,14.371,-3090.72,43.0008,0.0001,6861.1822,489.2806,491.0837,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-36658,aktif_uydular,6658.39,15.111,2924.05,797.86,-2126.19,13.504,-5860.53,43.0003,0.0001,6855.0812,483.2737,484.8887,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-34918,aktif_uydular,3666.32,15.118,2925.85,3070.44,144.59,14.312,-595.87,53.1599,0.0002,6853.3302,481.0568,483.6035,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30880,aktif_uydular,7637.99,14.984,2926.47,2742.68,-183.79,13.003,-4895.31,43.0034,0.0001,6863.6075,491.6212,493.5938,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-11422 [DTC],aktif_uydular,5105.85,2.39,2926.69,900.21,-2026.48,6.142,-4205.64,53.1577,0.0001,6737.8387,366.2782,367.3993,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30227,aktif_uydular,11923.63,15.13,2927.43,1303.77,-1623.66,8.176,-10619.87,43.001,0.0005,6883.6715,509.1505,516.1925,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-34519,aktif_uydular,11967.75,15.087,2933.29,3511.88,578.59,8.811,-8455.87,53.1583,0.0001,6853.3332,481.5725,483.0939,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31029,aktif_uydular,4839.61,15.14,2933.58,2022.24,-911.34,14.295,-2817.37,53.1615,0.0001,6853.399,481.5423,483.2557,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,STARLINK-33866,aktif_uydular,8576.09,13.893,2934.69,1518.53,-1416.16,11.888,-7057.56,42.9982,0.0,6861.2172,489.9249,490.5095,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-35608,aktif_uydular,11397.8,14.751,2937.1,1980.93,-956.17,8.76,-9416.87,43.0022,0.0002,6861.1058,488.8673,491.3442,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-36115,aktif_uydular,12595.72,15.073,2937.3,1222.87,-1714.43,6.482,-11372.85,53.1601,0.0001,6853.3488,481.6279,483.0698,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32683,aktif_uydular,12095.36,14.866,2941.62,1523.35,-1418.27,7.804,-10572.01,53.1586,0.0001,6853.2801,481.6941,482.866,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-33861,aktif_uydular,12126.23,14.816,2941.91,1766.32,-1175.59,6.975,-10359.91,43.002,0.0002,6861.1426,488.9995,491.2857,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31946,aktif_uydular,10964.34,14.746,2943.95,2334.98,-608.97,9.7,-8629.36,43.0009,0.0001,6861.1895,489.4471,490.9318,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31702,aktif_uydular,12064.59,14.904,2947.33,3824.37,877.04,8.241,-8240.22,43.0019,0.0002,6861.1973,489.0247,491.3699,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-35805,aktif_uydular,4932.39,15.077,2948.44,3276.97,328.53,14.096,-1655.43,53.1585,0.0002,6853.3449,481.0996,483.5901,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-36534,aktif_uydular,9579.98,15.002,2949.1,3066.43,117.33,11.618,-6513.54,42.9998,0.0001,6861.1098,489.1959,491.0237,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-34883,aktif_uydular,5022.34,15.126,2964.1,1941.47,-1022.63,14.275,-3080.87,53.1601,0.0001,6853.3587,481.5603,483.1571,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-5653,aktif_uydular,8326.53,15.03,2968.48,1626.11,-1342.37,12.602,-6700.43,43.0003,0.0001,6863.6956,491.885,493.5062,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32653,aktif_uydular,6737.01,15.052,2969.3,705.27,-2264.03,13.609,-6031.74,42.9956,0.0,6861.1843,489.8858,490.4828,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-5610,aktif_uydular,12357.56,14.986,2969.98,2728.89,-241.09,7.372,-9628.67,42.9998,0.0002,6863.7803,491.5407,494.0199,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31667,aktif_uydular,12454.36,14.879,2973.17,2331.19,-641.98,6.571,-10123.17,43.0018,0.0001,6861.1879,489.2986,491.0771,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-33607,aktif_uydular,12455.08,14.93,2974.57,2314.26,-660.31,6.691,-10140.81,43.0013,0.0001,6861.1342,489.562,490.7064,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-36736,aktif_uydular,5667.08,15.055,2975.74,3241.83,266.09,13.677,-2425.24,43.0013,0.0002,6858.7217,486.4624,488.9809,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
