object_id,norad_id,cospar_id,discos_name,object_class,mission,mass_kg,shape,length_m,height_m,depth_m,diameter_m,span_m,x_sect_max_m2,x_sect_min_m2,x_sect_avg_m2,destination_orbit_count,destination_orbit_id
30104,30107,1999-025RL,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30076,30079,1999-025QG,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30113,30116,1999-025RV,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30112,30115,1999-025RU,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30078,30081,1999-025QJ,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30086,30089,1999-025QS,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30087,30090,1999-025QT,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30111,30114,1999-025RT,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30071,30074,1999-025QB,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30083,30086,1999-025QP,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30075,30078,1999-025QF,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30101,30104,1999-025RH,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30114,30117,1999-025RW,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30109,30112,1999-025RR,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30096,30099,1999-025RC,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30105,30108,1999-025RM,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30084,30087,1999-025QQ,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30100,30103,1999-025RG,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30102,30105,1999-025RJ,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30117,30120,1999-025RZ,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30116,30119,1999-025RY,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30122,30125,1999-025SE,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30125,30128,1999-025SH,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30128,30131,1999-025SL,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30120,30123,1999-025SC,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30124,30127,1999-025SG,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30118,30121,1999-025SA,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30126,30129,1999-025SJ,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
30121,30124,1999-025SD,Fengyun 1C debris,Payload Fragmentation Debris,,,,,,,,,,,,0,
